deposits,poa,jul
982.652757641764,0,0
1125.7480918470685,0,1
858.8775148158159,1,0
1336.7449856663084,1,1
954.8344456616067,0,0
1179.8632791255181,0,1
1127.6950787798457,1,0
1223.9585236943306,1,1
778.2217014448859,0,0
869.9555389416336,0,1
1138.9824191372636,1,0
1229.3442541572515,1,1
892.0233687407937,0,0
999.8248146238577,0,1
1217.2734307665964,1,0
1334.8074906036454,1,1
930.9041843560319,0,0
978.7582033258566,0,1
914.4573933682877,1,0
1082.7873487754014,1,1
1158.5683339328373,0,0
952.0006151139432,0,1
901.9315080373585,1,0
1088.8804338435168,1,1
1051.5427434352691,0,0
1314.8181360421645,0,1
1178.2912348425345,1,0
1192.2333668121346,1,1
735.5439766955899,0,0
1110.7472566441434,0,1
1144.5477009849778,1,0
1267.982927243223,1,1
1048.6125954092192,0,0
860.8674068497432,0,1
1137.5739275518815,1,0
1346.6361348397006,1,1
942.2376579375525,0,0
1187.6792920582163,0,1
1151.9672314245463,1,0
1521.3034325424328,1,1
898.4616999541062,0,0
1368.323429551895,0,1
997.9962917632264,1,0
1428.648943480303,1,1
1091.7514433261301,0,0
1204.869789082672,0,1
1134.8380545741504,1,0
1276.009220505486,1,1
1154.6499283743926,0,0
822.0945051068979,0,1
1143.9608709948022,1,0
1297.1475688145968,1,1
1139.6920178674297,0,0
977.3648890700623,0,1
992.8472872960448,1,0
1149.6205953043286,1,1
874.1173715166042,0,0
1240.0366723779935,0,1
1379.8661766717134,1,0
1297.2230296011414,1,1
953.6181436223178,0,0
943.8495801571829,0,1
1171.0749381367682,1,0
1256.7012041619794,1,1
1049.6895147105347,0,0
1116.5729142219343,0,1
921.3044754196027,1,0
1348.4077840507134,1,1
1146.3317690683539,0,0
1166.1951080144006,0,1
1198.4830412950744,1,0
1175.9153584671515,1,1
928.1238643232065,0,0
910.9604292632876,0,1
953.7977494659018,1,0
1377.901977136176,1,1
972.1511535004274,0,0
1041.07119659073,0,1
1218.0626905613678,1,0
1529.9108369503867,1,1
834.0497538990958,0,0
563.8098989896391,0,1
1273.7893368511106,1,0
1283.6859777314714,1,1
820.5690063878994,0,0
896.3418537998565,0,1
976.8976522472434,1,0
1360.2567583148411,1,1
1121.8788733591298,0,0
1012.1147772910259,0,1
1244.5064193866483,1,0
1403.521598756667,1,1
1203.4360042856235,0,0
862.8325227052726,0,1
1161.9171390404747,1,0
1239.8169292171247,1,1
989.1984817629499,0,0
1294.8616955897453,0,1
1223.3090239991734,1,0
1333.6138722715625,1,1
1150.5299346838037,0,0
835.4787933059051,0,1
1384.518947398092,1,0
1301.8888601172691,1,1
1054.2454037571451,0,0
983.9933269954524,0,1
1063.1917825995695,1,0
1314.6514147823248,1,1
903.2320368092313,0,0
1069.6110865929138,0,1
986.9395753463766,1,0
1184.04853242168,1,1
1054.2093408262622,0,0
1266.1909933599172,0,1
966.5728355561715,1,0
1303.6765261388414,1,1
1230.7054849698955,0,0
834.6206773230841,0,1
977.6284572551842,1,0
1374.6997436868173,1,1
994.6260941335073,0,0
1224.474562823244,0,1
1088.4347435878844,1,0
1517.6715411692562,1,1
1234.696548372101,0,0
1051.534959152938,0,1
1151.1727962224966,1,0
1443.890623912781,1,1
607.0382343865383,0,0
902.7737023428074,0,1
1141.5036198995028,1,0
1622.9773686267336,1,1
1123.2853756562836,0,0
1119.3155211394906,0,1
1224.0774873554035,1,0
1184.8978655667925,1,1
1013.0570602357257,0,0
1079.8589543360206,0,1
1101.950283781686,1,0
1430.8480955081018,1,1
955.1488974301199,0,0
959.9674684261807,0,1
1318.0301115735974,1,0
1327.5013008607527,1,1
1013.7641164803254,0,0
1060.470312748503,0,1
1060.3014750143066,1,0
1628.4704399826508,1,1
701.8646628098661,0,0
992.202960470736,0,1
1508.0253749884428,1,0
1178.7552571967274,1,1
967.0492168243732,0,0
1067.0276017876872,0,1
1193.850102164751,1,0
1174.0417236728836,1,1
1053.566885726762,0,0
1149.319601178157,0,1
971.4263665375577,1,0
1210.0911031833966,1,1
1221.6841067112275,0,0
1287.9025224218028,0,1
939.3661252908331,1,0
981.4156413535289,1,1
922.2594672589529,0,0
864.3276751759727,0,1
1172.3708622864779,1,0
1221.1367467478858,1,1
878.7259595660219,0,0
1369.95500619844,0,1
1066.4805822011224,1,0
1186.1301007669454,1,1
924.7364434623195,0,0
757.1868300716247,0,1
1207.100074113814,1,0
1322.5590679714312,1,1
1137.310317655311,0,0
1027.2322357446626,0,1
1170.9856436860318,1,0
1351.263396366574,1,1
1049.3126664489528,0,0
1138.2475809726864,0,1
1089.075663101469,1,0
1581.425625882383,1,1
920.5359694349441,0,0
1092.148780160255,0,1
972.9809422897392,1,0
1442.5635757279076,1,1
1076.9901149670034,0,0
956.5950720269109,0,1
872.7729162971203,1,0
1213.4644516506396,1,1
1014.5616324022061,0,0
1018.7816624464087,0,1
1033.0227571899468,1,0
1165.2377992977463,1,1
1145.2967485799334,0,0
976.049859801175,0,1
1228.4598191485209,1,0
1373.787875725976,1,1
894.6920359183971,0,0
961.5952864583683,0,1
1132.1140616195305,1,0
1101.9650189469037,1,1
950.8506780103347,0,0
1177.4403145531537,0,1
913.1391831932018,1,0
1574.7188148781531,1,1
941.1837770301763,0,0
1103.552322894757,0,1
1125.9771388776774,1,0
1476.9160181081932,1,1
780.4727577801822,0,0
946.0635607109019,0,1
1157.7976069593255,1,0
1229.6236521842943,1,1
1044.4180415596863,0,0
1184.9399813149876,0,1
967.42138456983,1,0
1043.0298206363684,1,1
1039.1582908269834,0,0
1096.0949281314913,0,1
1123.0587658918291,1,0
1503.080856124812,1,1
1000.7670184963691,0,0
1171.929317825844,0,1
1108.7313077669,1,0
1282.8190232121074,1,1
964.8119299937279,0,0
1144.4443262885418,0,1
928.5544553254065,1,0
1485.6724467960194,1,1
